Id,SalePrice
1,20.85
2,18.15
3,22.35
4,14.0
5,25.0
6,14.3
7,30.7
8,20.0
9,12.99
10,11.8
11,12.95
12,34.5
13,14.4
14,27.95
15,15.7
16,13.2
17,14.9
18,9.0
19,15.9
20,13.9
21,32.53
22,13.94
23,23.0
24,12.99
25,15.4
26,25.63
27,13.48
28,30.6
29,20.75
30,6.85
31,4.0
32,14.935
33,17.99
34,16.55
35,27.75
36,30.9
37,14.5
38,15.3
39,10.9
40,8.2
41,16.0
42,17.0
43,14.4
44,13.025
45,14.1
46,31.99
47,23.9686
48,24.97
49,11.3
50,12.7
51,17.7
52,11.45
53,11.0
54,38.5
55,13.0
56,18.05
57,17.25
58,19.65
59,43.878
60,12.49
61,15.8
62,10.1
63,20.25
64,14.0
65,21.95
66,31.7
67,18.0
68,22.6
69,8.0
70,22.5
71,24.4
72,12.95
73,18.5
74,14.49
75,10.74
76,9.1
77,13.575
78,12.7
79,13.65
80,11.0
81,19.35
82,15.35
83,24.5
84,12.65
85,16.85
86,26.0
87,17.4
88,16.45
89,8.5
90,12.36
91,10.99
92,9.86
93,16.35
94,13.39
95,20.475
96,18.5
97,21.4
98,9.475
99,8.3
100,12.895
101,20.5
102,17.8
103,11.8964
104,19.89
105,16.95
106,25.0
107,10.0
108,11.5
109,11.5
110,19.0
111,13.69
112,18.0
113,38.397
114,21.7
115,25.95
116,17.6
117,13.9
118,15.5
119,32.0
120,16.399
121,18.0
122,10.0
123,13.6
124,15.39
125,18.1
126,8.45
127,12.8
128,8.7
129,15.5
130,15.0
131,22.6
132,24.4
133,15.075
134,22.0
135,18.0
136,17.4
137,14.3
138,17.1
139,23.0
140,23.15
141,11.5
142,26.0
143,16.6
144,20.4
145,12.5
146,13.0
147,10.5
148,22.25
149,14.1
150,11.5
151,12.2
152,37.2402
153,19.0
154,23.5
155,12.5
156,7.9
157,10.95
158,26.95
159,25.49
160,32.0
161,16.25
162,41.25
163,22.0
164,10.32
165,15.2
166,12.75
167,19.0
168,32.5624
169,18.35
170,22.8
171,12.85
172,21.5
173,23.9
174,16.3
175,18.4
176,24.3
177,21.1
178,17.25
179,50.1837
180,10.0
181,17.7
182,20.01
183,12.0
184,20.0
185,12.7
186,47.5
187,17.3
188,13.5
189,15.3337
190,28.6
191,31.5
192,18.4
193,19.2
194,13.0
195,12.7
196,14.85
197,31.1872
198,23.5
199,10.4
200,27.49
201,14.0
202,17.15
203,11.2
204,14.9
205,11.0
206,18.05
207,14.39
208,14.1
209,27.7
210,14.5
211,9.8
212,18.6
213,25.2678
214,15.6
215,16.175
216,13.445
217,21.0
218,10.7
219,31.15
220,16.724
221,20.49
222,20.0
223,17.99
224,9.7
225,38.625
226,11.2
227,29.0
228,10.6
229,12.5
230,19.25
231,14.8
232,40.3
233,9.45
234,12.82
235,21.65
236,8.95
237,18.55
238,19.45
239,31.8
240,11.3
241,26.25
242,11.05
243,7.9
244,12.0
245,20.5
246,24.15
247,13.7
248,14.0
249,18.0
250,27.7
251,7.65
252,23.5
253,17.3
254,15.8
255,14.5
256,23.0
257,20.75
258,22.0
259,23.15
260,9.7
261,17.6
262,27.6
263,15.1
264,13.0
265,7.3
266,17.55
267,18.5
268,17.95
269,12.05
270,14.8
271,26.6
272,24.15
273,29.0
274,13.9
275,12.45
276,20.5
277,20.1
278,14.1
279,41.5298
280,19.2
281,22.85
282,18.5
283,20.75
284,24.46
285,17.92
286,16.47
287,15.9
288,8.8
289,12.2
290,15.3575
291,23.323
292,13.59
293,13.1
294,23.5
295,16.7
296,14.25
297,15.2
298,23.9
299,17.5
300,15.85
301,15.7
302,26.7
303,20.5
304,14.99
305,29.5
306,30.59
307,22.5
308,8.95
309,8.25
310,36.0
311,16.56
312,13.2
313,11.99
314,37.5
315,17.8
316,18.85
317,26.0
318,27.0
319,26.0
320,18.75
321,34.2643
322,35.4
323,30.1
324,12.6175
325,24.2
326,8.7
327,32.4
328,14.525
329,21.45
330,7.8
331,11.9
332,13.9
333,28.4
334,20.7
335,19.2
336,22.895
337,37.7426
338,21.4
339,20.25
340,15.5
341,20.29
342,8.2
343,8.75
344,26.6
345,8.5
346,14.02
347,15.15
348,15.75
349,15.4
350,43.7154
351,31.8061
352,19.0
353,9.5
354,10.59
355,14.0
356,17.75
357,17.3
358,13.4
359,13.0
360,28.0
361,15.6
362,14.5
363,19.85
364,11.8
365,19.0
366,14.7
367,15.9
368,16.5
369,13.2
370,16.2
371,17.24
372,13.4432
373,12.5
374,12.3
375,21.95
376,6.1
377,14.8
378,34.0
379,39.4432
380,17.9
381,12.7
382,18.775
383,21.35
384,7.6
385,24.0
386,19.2
387,8.1
388,12.5
389,19.1
390,42.6
391,11.9
392,21.5
393,10.65
394,10.0
395,10.9
396,12.9
397,12.3
398,16.95
399,6.7
400,24.1
401,24.55
402,16.499
403,10.8
404,25.8
405,16.8
406,15.0
407,11.5
408,17.7
409,28.0
410,33.975
411,6.0
412,14.5
413,22.2
414,11.5
415,22.8
416,18.1134
417,14.95
418,23.9
419,12.6
420,14.2
421,20.63
422,21.5
423,11.3
424,31.5
425,13.9
426,13.5
427,27.5
428,10.9008
429,19.54
430,17.5
431,8.54
432,7.99
433,12.25
434,18.1
435,8.1
436,21.2
437,11.6
438,11.9
439,9.035
440,11.0
441,55.5
442,11.8
443,16.29
444,17.25
445,21.0
446,12.75
447,19.0
448,19.99
449,11.95
450,12.0
451,11.0
452,28.0
453,20.4
454,21.0
455,18.8
456,17.55
457,9.8
458,25.6
459,16.1
460,11.0
461,26.3435
462,15.5
463,6.2383
464,18.87
465,12.4
466,17.874
467,16.7
468,14.65
469,25.0
470,18.7
471,21.2
472,19.0
473,14.8
474,44.0
475,25.1
476,13.25
477,20.89
478,38.0
479,29.7
480,8.9471
